"Am_LABEL","beta","pval","tau^2","R^2","I^2","p_fdr"
"lh_lingual_thickness","0.00320475120621239","0.621645513671437","0.000237185984140355","0","21.4220190218959","0.768579907811958"
"lh_medialorbitofrontal_thickness","0.010965758509666","0.168998436495046","0.000439207416772623","3.10353189970281","27.0353830808487","0.47882890340263"
"lh_middletemporal_thickness","0.00615991347392496","0.466931490877998","0.000819247601037178","0","41.2816048729232","0.721621394993269"
"lh_parahippocampal_thickness","0.00991785712495319","0.378752096332938","0","0","0","0.677766909227363"
"lh_paracentral_thickness","0.00651135579932037","0.400481881568239","0.000375793230705028","3.41896188285087","22.9386577833771","0.698276101195904"
"lh_parsopercularis_thickness","-0.00433472885164581","0.542521706434201","0.000337785782166852","0","23.4954456047259","0.76466278447265"
"lh_parsorbitalis_thickness","0.0184303414861945","0.0895716913119694","0.000924393889496354","3.66902692666629","29.4073729140329","0.313100887421045"
"lh_parstriangularis_thickness","-0.00580200074138475","0.449511708273661","0.000332858612504948","0","20.6228421676376","0.721621394993269"
"lh_pericalcarine_thickness","-0.00341277305237419","0.65346708795094","0.000321220260242477","0","21.3182808763104","0.793495749654713"
"lh_postcentral_thickness","0.00914889601026687","0.108672059344804","0.000170205965284187","0","17.2153679164209","0.351890477878411"
"lh_posteriorcingulate_thickness","0.00181558235336922","0.770212853805965","0","0","0","0.844749581593639"
"lh_precentral_thickness","-0.00149691703497847","0.847444542265464","0.000568789278141419","0","37.1760416035861","0.860092968269427"
"lh_precuneus_thickness","0.0116768969054373","0.0743778402029288","0.000349502462085687","0","29.7798962019789","0.298467133220548"
"lh_rostralanteriorcingulate_thickness","0.00967674998700825","0.429928163194215","0.00136906958674684","0","35.7816915335823","0.721621394993269"
"lh_rostralmiddlefrontal_thickness","0.00236570940151574","0.704517333843481","0.000208688444275153","0","20.5672950461378","0.811986079684012"
"lh_superiorfrontal_thickness","0.00451469050328128","0.510607287257735","0.000226652299658909","0","18.3745185818402","0.754810772467955"
"lh_superiorparietal_thickness","0.00488278952664789","0.466556453911696","0.000405298644474014","0","33.361777454611","0.721621394993269"
"lh_superiortemporal_thickness","-0.00205433286549712","0.783903709599934","0.000351255312205659","0","21.9615499265765","0.846118289726913"
"lh_supramarginal_thickness","0.0138944567098747","0.0510920070057237","0.00038894741345777","8.7321904971124","29.9927184745295","0.267250498183786"
"lh_frontalpole_thickness","0.0194972854308137","0.0903410307865014","0","0","0","0.313100887421045"
"lh_temporalpole_thickness","-0.00429289292473746","0.814686210038233","0.00263628050455891","0","31.1179266925556","0.857876340647912"
"lh_transversetemporal_thickness","0.00601038210238857","0.603763709858781","0.000928000352156719","0","24.1372742351402","0.768579907811958"
"lh_insula_thickness","0.0105803589334347","0.226739545432158","0.000665608080764478","1.11291719016092","31.8881029704262","0.539859667148696"
"rh_MeanThickness_thickness","0.0120457213076331","0.0060053419147251","0.000130563819051974","3.97120635955918","24.3793424634083",NA
"lh_MeanThickness_thickness","0.00719431339102994","0.101852854420893","0.000117330647993555","0","22.1042626264775",NA
