fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
30976,-63,-40,148864,153054,140372,140441,1
30977,-67,-72,165794,171918,160713,161282,1
30978,-65,-59,146522,149898,143341,144090,1
30981,-56,-59,158036,169406,154346,156726,1
30982,-80,-69,164008,165496,160912,161851,1
30983,-62,-59,161902,162098,153801,154612,1
30984,-55,-44,167286,170906,164957,168528,1
30985,-40,-31,146096,149338,143233,143111,1
30987,-98,-75,151970,160300,141015,147205,1
30988,-39,-38,150244,149854,138854,141709,1
30989,-54,-51,130408,131008,128456,127982,1
30990,-61,-52,165264,164370,161929,161270,1
30991,-50,-53,156896,159120,154090,155918,1
30993,-48,-38,159020,165476,155612,154251,1
30994,-43,-37,139858,137660,136855,135757,1
30995,-67,-64,152674,152422,148390,147223,1
30996,-37,-59,173800,171448,160110,159008,1
30997,-30,-33,134606,134472,132836,132645,1
30998,-36,-62,138444,139800,136605,135814,1
30999,-63,-52,158942,157876,153499,152003,1
31000,-54,-56,138392,139392,136375,136163,1
31002,-93,-69,149886,150246,145416,145370,1
31003,-66,-63,176518,179210,172437,176134,1
31005,-70,-52,144884,147660,140533,143197,1
31006,-72,-55,156932,155910,146324,147132,1
31007,-63,-88,150522,155042,146039,145566,1
31008,-67,-52,151082,152898,144167,144014,1
31009,-118,-128,154626,154644,148812,149132,1
31010,-62,-45,134198,135154,131873,132201,1
31011,-81,-65,137180,139806,130091,130191,1
31012,-45,-44,143942,142716,140850,140090,1
31013,-54,-51,140996,141152,138765,138898,1
31014,-81,-93,155766,153386,151399,149493,1
31015,-50,-58,140396,140888,137289,137795,1
31016,-87,-71,144676,139238,137949,136411,1
31017,-47,-41,137700,137612,136125,136610,1
31018,-79,-57,177662,180990,171077,170258,1
31019,-52,-49,154794,157724,152528,155429,1
31020,-84,-78,144234,144456,141458,140941,1
31021,-86,-95,144568,147692,139720,143155,1
31022,-64,-66,157736,156018,154641,153831,1
31023,-44,-66,147288,149970,142231,145234,1
31024,-64,-61,150642,152542,148005,149631,1
31026,-44,-22,138328,140876,136663,139109,1
31027,-65,-51,161938,161904,157712,159811,1
31028,-46,-39,138100,138574,136119,136362,1
31029,-48,-62,147698,150410,144697,143341,1
31030,-48,-49,136656,136012,134305,134183,1
31031,-42,-48,138924,141742,137040,139356,1
31032,-58,-53,158810,155654,151313,148294,1
31033,-70,-72,151000,157118,147539,147919,1
31034,-44,-51,141702,146174,139186,141962,1
31035,-45,-46,149666,149664,147724,145661,1
31036,-79,-88,153892,153176,143184,143412,1
31037,-76,-99,149080,148800,143305,144937,1
31038,-59,-62,139180,139722,136437,136896,1
31039,-57,-49,142674,142918,140506,140923,1
31040,-66,-35,153444,152068,150659,150262,1
31041,-33,-46,163858,164056,153680,152781,1
31042,-51,-49,141260,141366,138230,138567,1
31043,-16,-19,112894,113270,112375,112374,1
31044,-39,-27,126824,128304,125735,126740,1
31045,-23,-27,138134,139520,136969,138218,1
31046,-30,-31,125724,125490,124068,123953,1
31047,-25,-25,140088,140798,137644,139611,1
31048,-34,-32,143188,142646,141467,141206,1
31049,-18,-20,142840,145394,141568,144253,1
31050,-9,-12,135328,135136,134963,134701,1
31051,-32,-23,135364,136030,132650,135297,1
31052,-27,-20,130864,131822,129962,130923,1
31053,-22,-20,115544,117120,114431,116407,1
31054,-25,-20,128902,118676,118849,117480,1
31055,-25,-15,123118,123626,121925,123006,1
31056,-20,-26,126082,128902,124729,127897,1
31057,-22,-26,139338,137754,138264,136383,1
